text	readability
What can you understand about characters? See how they effect texts.	5
If you are analysing a character, you should look at what the writer tells you outright and what you can read between the lines. This is known as explicit and implicit meaning. This Revision Bite covers: First, second and third person accounts	5
Something that is explicit is obvious, out in the open, plainly stated and up-front. Explicit meaning is the easiest to pick out from a piece of text. Sometimes a writer wants it to be obvious that a character is good or bad or cruel or generous or mean and so on. Take a look at this extract: Jim Wellings was not a man to be glanced at. But nor was he a man to be stared at. To say he was a big man is like calling Buckingham Palace a big house. He was a man who filled whatever space there was. He wasn't fat, though; just big. Even from this short extract, we can tell a lot about Jim.	5
"Now consider the following extract. Read through it carefully and note down three things you think it tells us about the main character. Once you've done this, compare your ideas against ours. Stanley didn't have many friends at home. He was overweight and the kids at his middle school often teased him about his size. Even his teachers sometimes made cruel comments without realising it. On his last day of school, his math teacher, Mrs Bell, taught ratios. As an example, she chose the heaviest kid in the class and the lightest kid in the class, and had them weigh themselves. Stanley weighed three times as much as the other boy. Mrs Bell wrote the ratio on the board, 3:1, unaware of how much embarrassment she had caused both of them. 'Holes' - Louis Sachar What does this extract show us about the main character? Stanley is another big male, but it is clear that the writer wants us to react differently to him than we did to Jim Wellings in the earlier extract. Stanley is a lonely boy, because he ""didn't have many friends at home"". He is bullied and teased, even by adults. The fact that the teacher causes him ""embarrassment"" by showing him up in front of the class proves that he feels uncomfortable about his weight."	5
"Something that is implicit is inferred - it is suggested, but not actually said. Implicit meaning can be a little harder to find than explicit meaning. Writers like to draw you into their text and get you involved. It's up to you to make your mind up about a character, just as it is when you meet someone in real life. The clues you need to make up your mind about a character are all in the text. Look for the following: What the character says. What the character does. What others say about them. How others react to them. Take another look at one of the extracts from 'Holes'. Stanley has just arrived at the prison camp. What can you tell about the character of Mr Sir, the man in the cowboy hat, from reading between the lines? Some important phrases have been put in bold to give you a few clues. A man was sitting with his feet up on a desk. He turned his head when Stanley and the guard entered, but otherwise didn't move. Even though he was inside, he wore sunglasses and a cowboy hat. He also held a can of cream soda, and the sight of it made Stanley even more aware of his own thirst. He waited while the bus guard gave the man some papers to sign. ""That's a lot of sunflower seeds,"" the bus guard said. Stanley noticed a burlap sack filled with sunflower seeds on the floor next to the desk. ""I quit smoking last month,"" said the man in the cowboy hat. He had a tattoo of a rattlesnake on his arm, and as he signed his name, the snake's rattle seemed to wiggle. ""I used to smoke a pack a day. Now I eat a sack of these every week."" 'Holes' - Louis Sachar On the surface, this extract doesn't tell us much about Mr Sir, but you've probably begun to form an opinion about him. If we read between the lines, we can tell that he likes to make an impression and wants to be seen to be in charge. He is sitting ""with his feet up on a desk"" and has made his appearance even more striking by wearing sunglasses and a cowboy hat indoors. Sometimes people who act like this can like power a bit too much, and can be bullies. Could Mr Sir be a bully? When we consider the can of cream soda, we can say that the fact that Mr Sir fails to offer either Stanley or the bus driver anything to drink after their nine-hour, cross-desert journey suggests that he is a selfish man. That he keeps his own drink in full view of Stanley and the bus driver further suggests that he is cruel and likes to see other people's discomfort. We learn that Mr Sir stopped smoking recently. We could then expect him to be bad- and short-tempered. The tattoo of a rattlesnake, a dangerous reptile that is supposed to have a bad temper, adds to this impression. The sunflower seeds are, we are led to believe, there to help him as an alternative to cigarettes, but we don't get the feeling of optimism that they'll be successful. So there we have it; Mr Sir is a bad-tempered, selfish bully!"	5
"A text can be written in the first, second or third person. This is all about who is telling the story. Here is a quick summary: First person means ""I"" or ""we"". The narrator of the account will be a character in the text and we will read about events from their point of view. We will also tend to relate to and sympathise with their feelings because of this. Second person means ""you"". It is very rare to find a story written in the second person (why not have a go at writing a piece to see how difficult it is). Parts of adverts or leaflets are addressed directly to you, however, which can be a very persuasive way of writing. Third person means ""he"", ""she"", ""it"" or ""they"". The narrator of the story will usually be the writer. The text may give many different characters' viewpoints. Some stories focus on one character, the hero or heroine, and we usually relate to and sympathise with them more than others. Take a look at these three extracts. Decide which ""person"" each one is written in and check your answers to see if you are correct. When you arrive at Oldcastle Cottage you'll receive a warm welcome. Your every need will be taken care of by your hosts. Is the extract above written in the first, second or third person? It is written in the second person. The writer is talking directly to you. Mr. Fogg's wardrobe was amply supplied and in the best taste. Each pair of trousers, coat, and vest bore a number, indicating the time of year and season at which they were in turn to be laid out for wearing; and the same system was applied to the master's shoes. 'Around the World in Eighty Days' - Jules Verne Is the extract above written in the first, second or third person? It is written in the third person. The writer is telling you about Mr Fogg's clothing and how it is arranged. I continued walking in this manner for some time, endeavouring by bodily exercise to ease the load that weighed upon my mind. I traversed (crossed) the streets without any clear conception of where I was or what I was doing. 'Frankenstein' - Mary Shelley Is the extract above written in the first, second or third person? It is written in the first person. The writer is telling the story as if they were a character in it."	5
As well as having lots of ideas, you need to explain them clearly. One really effective way of doing this is to use PEE . So if you're answering a question, state your point, back it up with a piece of evidence and then explain it. Try out the PEE method. Here's an extract from 'Holes' about Stanley and the prison work camp. Find two features of Stanley's character and explain how they are suggested. Write your answer down and then compare it to ours. Stanley and his parents had tried to pretend that he was just going away to camp for a while, just like rich kids do. When Stanley was younger he used to play with stuffed animals, and pretend the animals were at camp. Camp Fun and Games he called it. Sometimes he'd have them play soccer with a marble. Other times they'd run an obstacle course, or go bungee jumping off a table, tied to broken rubber bands. Now Stanley tried to pretend he was going to Camp Fun and Games. Maybe he'd make some friends, he thought. At least he'd get to swim in the lake. 'Holes' - Louis Sachar Check our ideas on the extract by clicking the button below. Point: Stanley is a lonely boy. He is willing to make the best of a bad situation. Evidence: The writer suggests that Stanley spent long periods, when younger, playing alone with stuffed toys. Stanley thinks that he will have the chance to make friends and 'at least he'd get to swim in the lake'. Explanation: The writer lists the sort of games Stanley played with his stuffed toys at 'Camp Fun and Games' in a way that suggests he was playing on his own - the toys became his friends. He is going to a boy's prison work camp, but, instead of thinking about the horrors he might face, he shows that he is hopeful and ready to make the best of things.	5
"When quoting from a text, remember to: Quote accurately. Quotes of three words or less can be used in the sentence you're writing - for example ...when the writer talks about the ""futility of life"" he means... Longer quotations need to be included on a line of their own and with a space before it (known as an indent). Short, well-chosen quotations are better than long, vague ones. Remember that certain words and phrases are helpful when you're explaining an idea in some detail, especially if you are commenting on implicit meaning. The following list shows some of those phrases. Some other words and phrases that may be useful are those that help move your argument on. These are called connectives. Here are some examples:"	5
The extract comes from a book called 'Face' by Benjamin Zephaniah. Natalie is a Year 9 student and lives in East London. She is out with her boyfriend and his friends. They have stopped to chat with some boys from school. Answer the question below and then check your ideas against ours. You can use the bullet points to help you. After a couple of minutes she realised that her every move was being watched by a group of three girls and she couldn't help noticing how tough they looked. All three were wearing dark blue baggy jeans. She was pretty sure they were Londoners born and bred but thought they could find a job working for the Jamaican tourist board, not simply because of their dark skin but also because of their clothing. One had a T-shirt saying 'I love Jamaica'. Another wore a T-shirt that was a Jamaican flag and the third just had a West Ham football shirt on, but she, like the others, was adorned with yellow, black and green bangles, badges and necklaces. Natalie thought they looked good, but dangerous. 'You from round here, den?' said the big girl wearing the Jamaican flag. 'Yeah.' 'What school yu go to, den?' 'Eastmorelands.' 'Yeah, I wanid to go there but they wouldn't let me, said I had ta go ta Lonsdale Park, said it was nearer. What ya doing here?' The other two girls continued to look her up and down. Natalie expected trouble and in her mind she cursed the boys for bringing her there and for the way they had got lost in their silly conversation about football and cars. 'I'm just hanging around with my boyfriend and his mates.' At this point the girl wearing the West Ham shirt reached into her back pocket. Natalie swallowed hard as the girl pulled out a couple of leaflets. After separating one from the other she handed one to Natalie. 'Dat's the place to be, check it out, good vibes, good music. Ya like rap?' Natalie wanted to kick herself. She had completely misread the situation. They weren't out for a fight, they wanted to find out if she liked clubbing. They wanted to find out if she was one of them, an Eastender. 'Yeah,' Natalie replied, feeling a sense of relief. 'Yeah, rap's cool...' She began to wonder if she sometimes looked threatening and if she herself had been misjudged in the past. For people to be friendly, did they have to have permanent smiles on their faces? How does the writer show Natalie's thoughts and feelings changing during the extract? You should refer to: Just before the girls speak to her, Natalie seems even more anxious. She is used to being out on the streets of London and feels she needs to 'put on a front' and look tough. She is afraid they may be laughing at her clothes or hair, which makes her seem insecure about herself. However, when the girls come up to speak to her she hides her nerves and answers their questions. The way she uses short answers like 'Yeah' suggests she does not want to give too much away about herself or get into a fight. When she realises the girls are actually being friendly and want to give her a flyer for a club, Natalie's feelings change completely. She is ashamed of being suspicious and feels like 'kicking herself'. She realises the girls are Eastenders just like her. The writer shows how this makes her think about her own image. She wonders if people think she looks threatening, too. At this point she comes across as an intelligent, thoughtful girl who wants to learn how to judge people fairly in the future.	5
Paragraphs are the building blocks of all texts. They divide texts into sections so it's easier to understand what's being said. This Revision Bite covers:	5
There are two main ways of setting out paragraphs, with a few small variations: The first example shows how new paragraphs can be started on the next available line, but with the first word beginning slightly to the right, or indented. Â Â Â Â Â Â Â We've just come back from a lovely holiday in Southsea. The weather was glorious and Albert has still got a deep, golden glow from the sunshine. It's a pity it can't be like that all year round. Â Â Â Â Â Â Â The hotel we stayed in was spotless. We felt like royalty because the bedsheets were changed twice, in the same week! I told Albert not to get too used to it as I wasn't going to carry that sort of thing on when we got home. We also got nice, clean fluffy towels every other day too. 'Holes' - Louis Sachar The second example shows how new paragraphs can be started by missing a line. In this type of example, indenting the first new word is not necessary. We've just come back from a lovely holiday in Southsea. The weather was glorious and Albert has still got a deep, golden glow from the sunshine. It's a pity it can't be like that all year round. The hotel we stayed in was spotless. We felt like royalty because the bedsheets were changed twice, in the same week! I told Albert not to get too used to it as I wasn't going to carry that sort of thing on when we got home. We also got nice, clean fluffy towels every other day too. 'Holes' - Louis Sachar	5
"There are two main reasons why paragraphs are used: To show a change of subject. To show a new speaker is talking. Without paragraphs, texts would be very confusing. Have a look at this extract from Louis Sachar's novel, 'Holes'. He waited while the bus guard gave the man some papers to sign. ""That's a lot of sunflower seeds,"" the bus guard said. Stanley noticed a burlap sack filled with sunflower seeds on the floor next to the desk. ""I quit smoking last month,"" said the man in the cowboy hat. He had a tattoo of a rattlesnake on his arm, and as he signed his name, the snake's rattle seemed to wiggle. ""I used to smoke a pack a day. Now I eat a sack of these every week."" 'Holes' - Louis Sachar Now look at it again. He waited while the bus guard gave the man some papers to sign. ""That's a lot of sunflower seeds,"" the bus guard said. Stanley noticed a burlap sack filled with sunflower seeds on the floor next to the desk. ""I quit smoking last month,"" said the man in the cowboy hat. He had a tattoo of a rattlesnake on his arm, and as he signed his name, the snake's rattle seemed to wiggle. ""I used to smoke a pack a day. Now I eat a sack of these every week."" 'Holes' - Louis Sachar As you can see, the second version is far easier, and far clearer, to read."	5
What can improve sentence structure? We explain what you need and when to use it.	5
The way sentences are used can be just as important as the language they contain. They can create a flowing, lyrical effect. They can build up tension and drama. They can put across anger or humour. They can make writing seem simple or complex. This Revision Bite covers:	5
A sentence is made up of words put together to do a certain job. Let's take a look at what those pieces are and how they fit together to make a sentence. First, we have words. Words are the smallest meaningful bits of sense. Each of these words does a different job. Barked is a verb - it tells us what happens in a sentence. Dog is a noun - it names things in a sentence. Big is an adjective - it gives us more detail about a noun. We put words together to make a phrase. A phrase is a short, single piece of information: We use phrases to make a clause. A clause is a larger word group that includes a little more information. It consists at least two phrases - one is a noun phrase known as the subject, and the other is the verb. In this clause, the noun phrase is the big dog and the verb is barked. This now takes us to the sentence. If we put a capital letter at the beginning of the clause we've used, and a full stop at the end, we have a sentence. The big dog barked. This is a simple sentence. A simple sentence consists of one clause that has a subject and a verb. A simple sentence puts across one simple idea. A complex sentence is used to put across more detailed ideas. A complex sentence contains one main clause that can make sense on its own, and one or more minor clauses that are linked to it. When I arrived the big dog barked. The main clause is the 'big dog barked' because it has a subject and a verb and makes sense by itself. The minor clause is 'When I arrived'. Although it is a clause with a subject and a verb, it doesn't make sense on its own, it needs a main clause. We can add more minor clauses to make a more complex sentence. When I arrived the big dog barked because it was lonely. We can even split the main clause with a minor clause and still have a complex sentence. When I arrived the big dog which was lonely barked.	5
Take a look at these sentences to see if you can spot the main clause and the minor clauses in each one. See how your answers compare to ours. The main clause is highlighted. Q1. Even though he drove with care he failed the test. Q2. I like cheese and onion sandwiches. Q3. During term time my school opens at 8.45 am. Q4. The loser of the race buys everybody else an ice cream. A1. Even though he drove with care he failed the test. A2. I like cheese and onion sandwiches. A3. During term time my school opens at 8.45 am. A4. The loser of the race buys everybody else an ice cream.	5
"So far, we have identified two types of sentence - simple and complex. The other main type of sentence that a writer may use is called a compound sentence. Compound sentences contain two or more pieces of information and the pieces are linked by connectives. Connectives are words such as: Here are three examples of compound sentences with the connectives written in bold: The boys walked down the road and their parents waved from the house. The dog came rushing in so the cat ran upstairs. My friend gave me a lift because it was raining. One advantage of compound sentences is that a writer can build more detail into their writing. However, one problem is that some writers can get carried away and write long rambling sentences: My mate came round and said, ""Do you want to go out?"" and I did so we went to the park and sat around for a bit and then these other girls came over who we knew from school so we started talking to them and then we felt hungry so we... Did you spot the problem? Remember, care needs to be taken with connectives. Two in a sentence is usually enough, and they don't need to be used in every sentence. Writers sometimes don't use full sentences. Fragments often help to emphasise a point, create drama or show surprise: She looked as carefully as she could, but found nothing. Absolutely nothing. Help! Please help! Imagine this. You're trapped. It's dark. It's cold. Repeating a word or phrase can emphasise a point, or make sure it's fully understood: His head was drooping as if it weighed a ton, but it was held up by a sharp band around his throat that was almost choking him. He tried to reach up and tear the band away, but there were sharp bands round his wrists as well. He tried to move his feet, but there were more cold, sharp bands around his ankles. 'Urn Burial' - Robert Westall Westall refers to the bands around Ralph's body four times. This isn't because he couldn't think of another phrase. He is emphasising how tightly Ralph is trapped to create a sense of fear and tension. He also allows us to build up a picture gradually, just like Ralph does as he is regaining consciousness. Bit by bit, both Ralph and the reader realise that every part of him is tied up - there is no chance of escape."	5
Punctuation marks are used to determine the structure and organisation of sentences. Here are some common punctuation marks you need to know:	5
How can different texts be laid out? See why structure matters.	5
The structure of a text is how it is put together. No text will make sense unless it is structured in a clear way. At the very least, it should have a beginning, a middle and an end. This Revision Bite covers:	5
The beginning should introduce the subject. The writer wants to catch the reader's attention and hint at what is to come. If the beginning is poor, the reader could lose interest quickly and stop reading. The middle section presents the main ideas, thoughts, actions and so on. These will often be presented in stages or with several twists and turns of argument. The ending generally sums up the piece of text, or makes a final point, or brings a conclusion to a story. It can add to your marks in a test if you show a plan of how you are going to answer a long question. A writer will usually plan not only what they are going to write, but also how they are going to write it. For example, how would a writer plan a magazine article about the benefits of health and fitness? Imagine you are writing a plan for a magazine article about fitness and health. Beginning: do people need to be fit? Ending: get fit and eat healthy food and you will benefit This is an example of quite a straightforward plan. Each box contains a summary of a paragraph and they are organised in a way that steers the reader through a journey. Obviously, the more complex the issue, argument, story, and so on, the more complex the plan will be.	5
The beginning of a text is crucial to its success. If the start is weak, there is a risk that the reader will lose interest and stop reading it. Here is the opening paragraph of a text about boxing: Boxing - sport or spectacle? Boxing, amongst other hand-to-hand fighting, has been with us for thousands of years. Originally it was nothing more than bare fist fighting between two willing, and sometimes unwilling, competitors for the entertainment of others. Some people argue that it is a relatively safe, disciplined, highly skilled and technical sport that brings enjoyment and employment to a great many people. Others claim that it is a dangerous and barbaric spectacle that has no place in the civilised world. This article will explore each side's claim in more detail. Why is this an effective opening for the text? It is totally in keeping with the title. It uses a formal, impersonal tone, which is appropriate for an argument text. It gives a summary of both sides of the argument. Let's consider some alternative beginnings and see if they are suitable. Decide what you think of each one and then read our comments below. Boxing - sport or spectacle? This article will talk about the damage that can be inflicted when two men stand face-to-face with the sole intention of knocking each other out with their fists. It will go on to argue that boxing, or legitimate assault, has no place in the twenty first century. This extract certainly gets straight to the point. Although this beginning is quite formal, it is certainly not impersonal as the writer lets the reader know exactly what they think about boxing. The reader can be sure about what the answer to the question in the title will be from the first sentence. Boxing - sport or spectacle? The bell goes and the two warriors approach each other. They are quick. They are strong. They are hard. They are ready to hurt and be hurt. A left fist launches and connects with a nose. The crowd are on their feet. Cheering. Wanting more. Wanting blood. This is prose rather than a non-fictional argument. It uses descriptive and figurative language. It could be the opening of a short story or a novel.	5
"How a text ends is just as important as how it begins. Good endings should leave the reader feeling satisfied. Take a look at the final paragraph of the article about boxing. In conclusion, both sides of the debate have solid foundations. As has been shown, the arguments for and against have been put forward since boxing began. And, it would seem, the argument will continue for at least the foreseeable future, as compromise seems unlikely. Both sides do agree, however, that the debate is better held whilst boxing is licensed and controlled rather than unlicensed and uncontrolled. The latter would make it, in my opinion, neither sport nor spectacle. As you can see, the writer clearly signals that the end is approaching by using the connecting phrase ""In conclusion"". It maintains the impersonal approach it set out with by stating that the argument will continue and that ""compromise seems unlikely"". The last sentence is a statement of the writer's own opinion, but this doesn't alter the fact that it is, or has been, a discursive text. So, when answering how effective the beginning or ending of a text is, here's a quick checklist you might find helpful: Is it relevant? Does the tone suit the subject? Does it use language in the same way as the rest of the text? Is it satisfying? Do you really feel that the text is complete? Is it relevant? Does it suit the tone of the whole extract? Does it use language in the same way?"	5
"Certain texts, especially non-fiction, will be laid out in ways that capture interest and attention, to make information clear, or to help you find what you want to read. You will not be asked to write in detail about how a text is laid out until GCSE, but your teacher may ask you a short question on layout. Scan over the following text and note down at least four things the writer has done to make it look more interesting and easy to read. Position: St James' Park, King's Lynn, Norfolk. Map Ref: TF 625 198. Access: Red Mount Chapel is on a mound on ""The Walks"" in the park. Red Mount Chapel is a superb example of the Gothic style in architecture and even boasts its own musical ghost! Built in 1485 at the time of Henry VII, the first Tudor king, it was a stopping-off place for pilgrims on their way to Walsingham via the port of King's Lynn. Octagonal in shape, it is very small, and had three floors. The top floor is a chapel with fan tracery much like that in Cambridge's King's College. Underneath the chapel building there is reputed to be a long tunnel (not unusual), running to Castle Rising - a distance of 18km/12 miles (very unusual). An unfortunate, drunken fiddler once decided to explore the dark passageway with his instrument, his dog and his pint! He never reached the end of the tunnel, wherever it went, but his spirit remains and can be heard on occasions playing his tunes and singing, accompanied by the whining of his poor dog! The Shattered Maid's Heart (King's Lynn) Killed by a Pinprick (Stow Bartolph) Detached Church Tower (West Walton) Did you spot them? The large, bold writing of the heading and unusual font catches our attention. Bold writing is used for the subheadings, which list the location details. These details are separated from the rest of the text so they are easy to follow. The most interesting fact, about the haunting, is mentioned first, and kept in a short paragraph of its own. An image of the haunted tunnel is used to draw the reader's attention. Another bold subheading is used to draw attention to ""Places of Interest in the Neighbourhood"". These places are listed, using bullet points to make them clear."	5
When answering questions, you need to make sure that you explain your ideas clearly. One really effective way of doing this is to use the PEE technique. PEE stands for: Point - the idea you want to put forward. Evidence - to support your idea, such as a quotation from the text. Explanation - why you consider this to be an important part of your answer.	5
What can help you summarise? Skimming, scanning and topic sentences.	5
To summarise a text, you have to sum it up in as few words as possible. This Revision Bite covers:	5
Here are some tips on how to find information from a text: Read the text very carefully, at least once. If you are asked a question on a text, read the question a couple of times to make sure you know exactly what it asks. Skim over the text to get a general idea of it. Scan the text for key words and phrases.	5
If you are asked to summarise a text, you will need to identify what the text is about and write this in as few words as possible. Summing up a piece of text in a few words can actually be quite difficult, but it is a useful skill.	5
Want to know the differences between fiction and non-fiction? Have a look here.	5
Everything we read is either fiction or non-fiction. Fiction comes from the imagination. Non-fiction is based on fact. This Revision Bite covers: Non-fiction	5
